unique_id,ds,LGBMRegressor,XGBRegressor,LinearRegression,LGBMRegressor-lo-95,LGBMRegressor-hi-95,XGBRegressor-lo-95,XGBRegressor-hi-95,LinearRegression-lo-95,LinearRegression-hi-95

1,2024-04-01 00:00:00,412062.82278694335,407645.03,411584.17989365145,406847.1147373415,417278.5308365452,403452.24803124997,411837.81446875003,408842.52019958483,414325.8395877181

1,2024-04-01 01:00:00,418138.810545403,410769.1,415329.3234749913,411563.3794732721,424714.24161753384,406481.48221875,415056.70528125,407714.4376452635,422944.2093047191

1,2024-04-01 02:00:00,417921.516024816,407583.75,415069.8669787142,409700.76514660177,426142.2669030303,400450.48668750003,414717.01331249997,406342.2171067421,423797.5168506863

1,2024-04-01 03:00:00,411816.81197153527,399929.06,410517.4556044769,401585.5903999766,422048.03354309394,392880.1601875,406977.9648125,401211.9758137128,419822.935395241

1,2024-04-01 04:00:00,396897.55051675235,382412.12,401922.6831969991,385753.9586223607,408041.142411144,377336.55365625,387487.69634375,391917.06988270255,411928.2965112956

1,2024-04-01 05:00:00,376529.282983807,366160.53,390425.29125094466,364683.9156188557,388374.65034875827,357809.69540625,374511.36709375,383017.71798631485,397832.8645155745

1,2024-04-01 06:00:00,361033.82504404784,346978.22,379266.2660618087,350329.6564031759,371737.9936849198,341103.03759375,352853.39990625,371939.0004474354,386593.53167618194

1,2024-04-01 07:00:00,352796.33440455206,342145.03,369643.7498638951,342832.1219113001,362760.546897804,335646.50224999996,348643.56025000004,357831.7957610234,381455.7039667668

1,2024-04-01 08:00:00,351299.75945569325,342516.4,362428.64825938275,344062.9255055345,358536.593405852,334955.133875,350077.678625,346597.96735024825,378259.32916851726

1,2024-04-01 09:00:00,350685.74693393,346879.1,359164.3074363564,345179.4767271138,356192.0171407461,338407.11484374997,355351.07265625003,338725.0001042891,379603.61476842366

1,2024-04-01 10:00:00,359377.8835133093,365724.66,360993.81353479286,355809.8938705411,362945.87315607746,353641.84359375,377807.46890625,336864.8310574474,385122.7960121383

1,2024-04-01 11:00:00,377460.6465394662,388035.66,367328.2178901571,370481.72774746467,384439.5653314678,368630.5629375,407440.7495625,343833.0753462624,390823.3604340517

1,2024-04-01 12:00:00,398215.06713883305,410098.84,376756.6930682006,389830.55689420743,406599.5773834587,387359.24284375005,432838.44465625,353063.41313200805,400449.97300439316

1,2024-04-01 13:00:00,414801.8800610883,420365.38,387251.6890041609,406471.5041368281,423132.2559853485,402505.42168749997,438225.32831250003,367016.12201261276,407487.255995709

1,2024-04-01 14:00:00,425780.12285597844,425826.25,396515.478781645,411974.56640189706,439585.6793100598,409264.22637499997,442388.27362500003,376397.3833313205,416633.57423196954

1,2024-04-01 15:00:00,430521.9776346915,432516.2,403891.65730033506,410958.17839575023,450085.7768736328,411714.57975,453317.79525,380039.9662428666,427743.34835780354

1,2024-04-01 16:00:00,434780.2103578485,436903.1,408985.2260664801,412807.3382208764,456753.0824948206,414857.3160625,458948.8714375,385261.36568420386,432709.08644875634

1,2024-04-01 17:00:00,436419.00678615406,434954.88,411496.3039147014,411379.65151112067,461458.36206118745,410116.686375,459793.063625,386491.021836983,436501.5859924198

1,2024-04-01 18:00:00,437548.746676712,430486.88,412217.0492496827,410817.81370923866,464279.67964418535,404000.9948125,456972.7551875,388019.0571161209,436415.0413832445

1,2024-04-01 19:00:00,436994.7625878516,428965.5,412995.95569755614,409602.48694756924,464387.038228134,401555.35340625,456375.64659375,390747.0303514649,435244.88104364736

